,Algorithm,Components,Clusters,Homogeneity,Time
0,Test,0,0,0.0,0.0
0,RCA,1,1,0.0,2.2609263000000084
0,RCA,1,2,0.01303544493946883,0.08748310000000004
0,RCA,1,3,0.013207329622103765,0.028660799999997266
0,RCA,1,4,0.014186550602830535,0.02917709999999829
0,RCA,1,5,0.01433781177433122,0.04063390000000311
0,RCA,1,6,0.014458156734286288,0.04745730000000492
0,RCA,1,7,0.014515316688626476,0.06014009999999814
0,RCA,1,8,0.014584573533499925,0.06873089999999138
0,RCA,1,9,0.014584573533499925,0.09689730000000907
0,RCA,1,10,0.014584573533499925,0.08603800000000206
0,RCA,1,11,0.014584573533499925,0.09242270000000019
0,RCA,1,12,0.014584573533499925,0.10148460000000625
0,RCA,1,13,0.014584573533499925,0.10755089999999257
0,RCA,1,14,0.014584573533499932,0.11134409999999662
0,RCA,1,15,0.01458457353349993,0.10741140000000371
0,RCA,1,16,0.01458457353349993,0.1191141999999985
0,RCA,1,17,0.01458457353349993,0.11568530000000976
0,RCA,1,18,0.01458457353349993,0.12088059999999246
0,RCA,1,19,0.01458457353349993,0.12329509999999289
0,RCA,2,1,0.0,0.05520059999999205
0,RCA,2,2,0.015046261504496698,0.030500099999997587
0,RCA,2,3,0.013154633359564991,0.09495520000000113
0,RCA,2,4,0.015236023869206214,0.11153639999999143
0,RCA,2,5,0.016128003860097075,0.11554209999999898
0,RCA,2,6,0.020810921738237707,0.1408149000000094
0,RCA,2,7,0.017799203461037607,0.16801060000000234
0,RCA,2,8,0.018392675175679753,0.17327090000000567
0,RCA,2,9,0.01855104230067376,0.17682059999999922
0,RCA,2,10,0.021284484559575618,0.18018080000000225
0,RCA,2,11,0.021302491010276682,0.1853989000000098
0,RCA,2,12,0.023433513114326364,0.3365354000000025
0,RCA,2,13,0.023679561384590823,0.1496075000000019
0,RCA,2,14,0.023834053772705626,0.1485509000000036
0,RCA,2,15,0.024088845801440682,0.1571353000000073
0,RCA,2,16,0.02483402562279115,0.16874230000000523
0,RCA,2,17,0.024817584338443242,0.22815719999999828
0,RCA,2,18,0.025140124632919918,0.18185320000000615
0,RCA,2,19,0.025357266208283633,0.20491889999999557
0,RCA,3,1,0.0,0.016018100000010804
0,RCA,3,2,0.01344064319939896,0.0325727000000029
0,RCA,3,3,0.011901407396769502,0.13844950000000722
0,RCA,3,4,0.006744822250070405,0.1370199999999926
0,RCA,3,5,0.005196614840756696,0.1321013000000022
0,RCA,3,6,0.00524948352263796,0.10920999999999026
0,RCA,3,7,0.00827896499573984,0.20790080000000444
0,RCA,3,8,0.01629543777718725,0.17232609999999227
0,RCA,3,9,0.010072977508160318,0.19769340000000568
0,RCA,3,10,0.012774761654022387,0.260902999999999
0,RCA,3,11,0.019359550905159145,0.23785249999998825
0,RCA,3,12,0.013468982415682276,0.35189839999999606
0,RCA,3,13,0.020197708790775388,0.42045669999998836
0,RCA,3,14,0.02060604054299498,0.3515328000000011
0,RCA,3,15,0.02130243774503388,0.4632046999999915
0,RCA,3,16,0.02106846095648936,0.34674990000000605
0,RCA,3,17,0.02186800644228864,0.31511490000001174
0,RCA,3,18,0.0219130719691669,0.3933526999999941
0,RCA,3,19,0.022008183634350552,0.38704830000000356
0,RCA,4,1,0.0,0.014543600000010315
0,RCA,4,2,0.007710316799946888,0.108961800000003
0,RCA,4,3,0.012260577072697393,0.10315669999999955
0,RCA,4,4,0.013942702540208997,0.1353380000000044
0,RCA,4,5,0.0051295367451823825,0.10945169999999393
0,RCA,4,6,0.007407070820433307,0.15040960000000325
0,RCA,4,7,0.004515035612978559,0.20785149999998964
0,RCA,4,8,0.015958731611840346,0.45092240000001027
0,RCA,4,9,0.021986073882611666,0.34997110000000475
0,RCA,4,10,0.01852689028801306,0.4460854000000012
0,RCA,4,11,0.025664060569472746,0.5290540000000021
0,RCA,4,12,0.022766458815451696,0.36003249999998843
0,RCA,4,13,0.022819864553591033,0.3339881999999932
0,RCA,4,14,0.023848329663295368,0.5652826999999974
0,RCA,4,15,0.018126789422735812,0.5210603999999961
0,RCA,4,16,0.020760699710590455,0.45884929999999713
0,RCA,4,17,0.02019531052547017,0.6577092999999934
0,RCA,4,18,0.019053977768923643,0.5143163000000044
0,RCA,4,19,0.018634388215673297,0.7271027000000032
0,RCA,5,1,0.0,0.016328999999998928
0,RCA,5,2,0.013173612763899308,0.040324400000002925
0,RCA,5,3,0.008918227885954469,0.13678790000000163
0,RCA,5,4,0.01259001981365565,0.1254528999999991
0,RCA,5,5,0.006239182533803389,0.1799278999999956
0,RCA,5,6,0.011566615355712098,0.2630307000000016
0,RCA,5,7,0.005862671694038549,0.2334742000000034
0,RCA,5,8,0.01681963053582419,0.4118799000000024
0,RCA,5,9,0.019879741544183538,0.4113602000000043
0,RCA,5,10,0.020138590025383884,0.4350103999999959
0,RCA,5,11,0.018696060618217117,0.40723090000000184
0,RCA,5,12,0.02332307282596002,0.41916840000000377
0,RCA,5,13,0.024232059272931126,0.7207857000000075
0,RCA,5,14,0.018318802362920234,0.4954112000000066
0,RCA,5,15,0.02399764522430743,1.1534674999999908
0,RCA,5,16,0.02132199751945041,0.8528404000000052
0,RCA,5,17,0.019780324604029162,0.8511077999999941
0,RCA,5,18,0.01609853394578891,0.7567932999999982
0,RCA,5,19,0.020619208620146722,1.0365685999999954
0,RCA,6,1,0.0,0.015232400000002144
0,RCA,6,2,0.007711913468670325,0.11116629999999361
0,RCA,6,3,0.010024467142172463,0.18390569999999684
0,RCA,6,4,0.013292021938159163,0.1446275000000128
0,RCA,6,5,0.019694889200746083,0.35655660000000466
0,RCA,6,6,0.02298151397389821,0.2471575999999942
0,RCA,6,7,0.026039452590886164,0.3447578999999905
0,RCA,6,8,0.013449499357394014,0.23817540000000292
0,RCA,6,9,0.017459169759900663,0.476131599999988
0,RCA,6,10,0.01703641329309043,0.6212033000000048
0,RCA,6,11,0.0214901390814161,0.7456718000000109
0,RCA,6,12,0.02583943711227085,0.6252716000000049
0,RCA,6,13,0.021719244270661135,0.6163579000000112
0,RCA,6,14,0.020817927058382507,0.6504635999999948
0,RCA,6,15,0.012839292184425803,0.888108900000006
0,RCA,6,16,0.02489945500185187,1.2500256999999948
0,RCA,6,17,0.025019562019744833,0.9113329999999991
0,RCA,6,18,0.02182570692860631,1.206683499999997
0,RCA,6,19,0.022539578210380988,1.5617114000000072
0,RCA,7,1,0.0,0.014775200000002542
0,RCA,7,2,0.008152118135739022,0.12233229999999651
0,RCA,7,3,0.012654874893927257,0.22174649999999474
0,RCA,7,4,0.024568110768451785,0.16220529999999656
0,RCA,7,5,0.014862340655274671,0.2161629000000005
0,RCA,7,6,0.024488426983898224,0.32347999999998933
0,RCA,7,7,0.021629287478426722,0.21827679999999816
0,RCA,7,8,0.009250051509318482,0.377378400000012
0,RCA,7,9,0.009343091028757647,0.5330061000000086
0,RCA,7,10,0.016955286746562184,0.3743963000000008
0,RCA,7,11,0.023522690045874078,0.3620288000000045
0,RCA,7,12,0.020425921093006522,0.4494846999999993
0,RCA,7,13,0.015349615399188972,0.7169589999999886
0,RCA,7,14,0.016275153527747048,0.9576818000000031
0,RCA,7,15,0.011193040232467455,0.9709179999999975
0,RCA,7,16,0.009238140977559577,1.3527087999999878
0,RCA,7,17,0.012043366663348,1.0814162000000067
0,RCA,7,18,0.010294711629073744,0.7690838000000042
0,RCA,7,19,0.01437697531565507,1.0423024000000112
0,RCA,8,1,0.0,0.016952699999990273
0,RCA,8,2,0.007842651106417397,0.10599540000001184
0,RCA,8,3,0.00465674554921479,0.14592539999998166
0,RCA,8,4,0.012145281529226351,0.1696136999999851
0,RCA,8,5,0.014840076485778748,0.20832609999999363
0,RCA,8,6,0.009052066543413546,0.21304040000001123
0,RCA,8,7,0.00953734670519337,0.4187212999999872
0,RCA,8,8,0.010874497598003968,0.4430385999999942
0,RCA,8,9,0.009972073761667604,0.4158352999999977
0,RCA,8,10,0.013683064456966508,0.4561723999999856
0,RCA,8,11,0.02004415122887993,1.011755700000009
0,RCA,8,12,0.01820460238761771,0.6824612999999999
0,RCA,8,13,0.0218553501511801,0.5671792000000266
0,RCA,8,14,0.020856492191710634,0.832392700000014
0,RCA,8,15,0.024776526172950144,1.037738399999995
0,RCA,8,16,0.02009100343993117,0.9927627000000143
0,RCA,8,17,0.022375190495530255,0.9276614999999993
0,RCA,8,18,0.02675407044044237,1.6494054000000062
0,RCA,8,19,0.024035960793039407,1.0774820999999974
0,RCA,9,1,0.0,0.017242399999986446
0,RCA,9,2,0.007369974114951403,0.12478839999999991
0,RCA,9,3,0.010784900050433421,0.1416067000000112
0,RCA,9,4,0.014586761006047595,0.17743899999999257
0,RCA,9,5,0.027662532750128505,0.2100586999999905
0,RCA,9,6,0.011736777610583645,0.516900899999996
0,RCA,9,7,0.013346185353098648,0.5462486000000126
0,RCA,9,8,0.008200069430625814,0.477345200000002
0,RCA,9,9,0.020246541314001977,1.0640841000000023
0,RCA,9,10,0.03737539156247648,0.5495272999999941
0,RCA,9,11,0.031817629458182436,1.2389690999999914
0,RCA,9,12,0.025712817006551803,0.8705738999999824
0,RCA,9,13,0.029266684194678583,1.0534167000000139
0,RCA,9,14,0.023910126348487458,0.7733226999999943
0,RCA,9,15,0.03359723458001819,0.8296267999999998
0,RCA,9,16,0.027950808256012472,1.0269784999999843
0,RCA,9,17,0.039794694675040425,1.3536947000000055
0,RCA,9,18,0.02645007517797016,1.3528322999999887
0,RCA,9,19,0.0286942584411631,1.1952170000000137
0,RCA,10,1,0.0,0.01745549999998275
0,RCA,10,2,0.007154667705144754,0.12374289999999633
0,RCA,10,3,0.010515052813040139,0.14027150000001143
0,RCA,10,4,0.012371195569755961,0.22017270000000622
0,RCA,10,5,0.014010093656937783,0.2242706000000112
0,RCA,10,6,0.014181202968275873,0.3193178999999873
0,RCA,10,7,0.009846767863763956,0.5934002000000191
0,RCA,10,8,0.013706219108375042,0.48013760000000616
0,RCA,10,9,0.02461931727775481,0.6725121999999999
0,RCA,10,10,0.019508861796244607,0.8406042000000014
0,RCA,10,11,0.028105661421975528,1.8148346999999774
0,RCA,10,12,0.02411792612914385,0.6197396000000026
0,RCA,10,13,0.019784975433206852,1.1813346000000138
0,RCA,10,14,0.023373600142556235,1.3226025000000163
0,RCA,10,15,0.02203997167577414,1.2861728999999968
0,RCA,10,16,0.02027670765730841,1.092650500000019
0,RCA,10,17,0.016512279787573362,1.4566733000000056
0,RCA,10,18,0.016598794785047517,1.3369885000000181
0,RCA,10,19,0.01763175336389638,1.5633009000000015
0,RCA,11,1,0.0,0.029014200000005985
0,RCA,11,2,0.00033094649619751297,0.15206249999999955
0,RCA,11,3,0.007690658050629329,0.20091859999999429
0,RCA,11,4,0.0055921551853614256,0.2151960999999858
0,RCA,11,5,0.008753171129264657,0.23903720000001272
0,RCA,11,6,0.014923421258594066,0.3337803000000008
0,RCA,11,7,0.006830687314777465,0.6937441999999976
0,RCA,11,8,0.014255712324777918,0.5612385999999958
0,RCA,11,9,0.021420676344506777,0.5889164999999821
0,RCA,11,10,0.01808742656514807,1.2264928999999825
0,RCA,11,11,0.008987358669665726,0.8173200000000236
0,RCA,11,12,0.015634220143194953,0.6771554000000037
0,RCA,11,13,0.016887593031138865,1.6073277000000132
0,RCA,11,14,0.016985149251973506,1.1718968999999788
0,RCA,11,15,0.02007870956026489,1.6536033999999802
0,RCA,11,16,0.021489912698096157,1.1597696999999982
0,RCA,11,17,0.020233721981891446,1.3890004000000147
0,RCA,11,18,0.025184182687094495,1.3426559000000111
0,RCA,11,19,0.02741517085701361,0.9783074000000056
0,RCA,12,1,0.0,0.02504089999999337
0,RCA,12,2,0.0003056262037570088,0.15704800000000319
0,RCA,12,3,0.007674933019883515,0.3156646000000194
0,RCA,12,4,0.0006093114709001035,0.34451859999998646
0,RCA,12,5,0.00543900225054711,0.518120300000021
0,RCA,12,6,0.0015407429899149676,0.6419961000000001
0,RCA,12,7,0.01496750192148511,0.7824674000000016
0,RCA,12,8,0.005738384688956194,0.8742167999999992
0,RCA,12,9,0.009567155607699045,1.2685450000000174
0,RCA,12,10,0.015543803019550948,0.7690824999999961
0,RCA,12,11,0.01713930572886274,0.8444147999999814
0,RCA,12,12,0.012487655673335275,1.2704822000000036
0,RCA,12,13,0.010687439732201863,1.08026670000001
0,RCA,12,14,0.008717332659483892,1.376595100000003
0,RCA,12,15,0.013389637864291652,1.123234999999994
0,RCA,12,16,0.014066884766788896,1.4875929000000099
0,RCA,12,17,0.008619489263265825,3.0859272000000146
0,RCA,12,18,0.01542823115637353,1.5131024000000082
0,RCA,12,19,0.011423578735921449,2.0239751000000012
0,RCA,13,1,0.0,0.025703299999975115
0,RCA,13,2,0.00032399102052013733,0.20880189999999743
0,RCA,13,3,0.005182521027603233,0.2671428000000162
0,RCA,13,4,0.014376462498410732,0.29348079999999754
0,RCA,13,5,0.016221758574844897,0.35761140000002456
0,RCA,13,6,0.01647398087300732,0.46659319999997706
0,RCA,13,7,0.015405470336815602,0.6998049999999978
0,RCA,13,8,0.0194785710288402,0.7496485000000064
0,RCA,13,9,0.021531606278508968,0.6987498999999957
0,RCA,13,10,0.02506196816993801,1.0337624000000005
0,RCA,13,11,0.011389460246349977,1.6181681999999853
0,RCA,13,12,0.010880950819254777,1.288570299999975
0,RCA,13,13,0.01782483669480366,1.273889099999991
0,RCA,13,14,0.011990613946385177,1.4837235000000248
0,RCA,13,15,0.012483601912470528,1.7538647000000083
0,RCA,13,16,0.01043280217743193,1.221591200000006
0,RCA,13,17,0.025064797113078692,2.572252899999995
0,RCA,13,18,0.025188724707946707,2.0140461999999957
0,RCA,13,19,0.024591055382433166,2.7380237000000136
0,RCA,14,1,0.0,0.02572680000000105
0,RCA,14,2,0.006873829125920972,0.2043965999999955
0,RCA,14,3,0.005579458199474814,0.26276889999999753
0,RCA,14,4,0.012706881217204027,0.5744454000000019
0,RCA,14,5,0.007586336285621098,0.5636571000000004
0,RCA,14,6,0.022794287258908832,1.05782099999999
0,RCA,14,7,0.03036714694202901,0.7369095000000243
0,RCA,14,8,0.003527540487447526,0.8409236999999905
0,RCA,14,9,0.009780516658111842,1.3529377000000125
0,RCA,14,10,0.013992635330572642,0.9717445999999939
0,RCA,14,11,0.02152644552010705,1.3161030999999923
0,RCA,14,12,0.012539350915212114,1.1742583999999852
0,RCA,14,13,0.012588432924623555,2.0193562000000043
0,RCA,14,14,0.02307238083601757,1.2558586000000105
0,RCA,14,15,0.019871728173842917,1.055601700000011
0,RCA,14,16,0.018370850010889117,1.4615666999999917
0,RCA,14,17,0.013386136323194187,1.6286713000000077
0,RCA,14,18,0.024822077400570772,2.0373794000000203
0,RCA,14,19,0.013367770830336932,1.7084478999999817
0,RCA,15,1,0.0,0.02664279999999053
0,RCA,15,2,0.0003578805341223078,0.19149640000000545
0,RCA,15,3,0.024045847851286717,0.21436610000000655
0,RCA,15,4,0.009910141068446213,0.5700592000000029
0,RCA,15,5,0.015638179536376952,0.6401594000000159
0,RCA,15,6,0.00903458566101847,0.7970047999999963
0,RCA,15,7,0.02040343282868749,0.6350715000000093
0,RCA,15,8,0.028535203364524392,1.0296625000000006
0,RCA,15,9,0.014568263952492439,0.929208200000005
0,RCA,15,10,0.038154661358813506,1.8840501999999901
0,RCA,15,11,0.02818816814403167,1.4345382999999856
0,RCA,15,12,0.03167924065156195,1.3809453999999732
0,RCA,15,13,0.028544247031439925,1.2632879999999886
0,RCA,15,14,0.02865739529370655,1.656194400000004
0,RCA,15,15,0.02281753768742583,2.5776652000000126
0,RCA,15,16,0.017925169061246565,1.6437644000000091
0,RCA,15,17,0.01882158541744402,1.847989699999971
0,RCA,15,18,0.028155312728662372,1.9021602999999914
0,RCA,15,19,0.0322777287004987,1.9497599000000037
0,RCA,16,1,0.0,0.02911629999999832
0,RCA,16,2,0.00034570422515658083,0.20436480000000756
0,RCA,16,3,0.011580775938733157,0.24252309999997124
0,RCA,16,4,0.009129514619909969,0.4423782000000074
0,RCA,16,5,0.015654361183645993,0.926650699999982
0,RCA,16,6,0.010130035651076848,0.6708523000000355
0,RCA,16,7,0.01404587437019415,1.1520323000000303
0,RCA,16,8,0.01629349078391865,1.0065657999999758
0,RCA,16,9,0.008223537278588417,1.0503091999999583
0,RCA,16,10,0.00935676220506702,1.2939148000000387
0,RCA,16,11,0.017082898345073465,1.7140855000000101
0,RCA,16,12,0.014340926110259443,2.9376993000000198
0,RCA,16,13,0.021340616790427782,2.512670700000001
0,RCA,16,14,0.019761509629291518,2.214284599999985
0,RCA,16,15,0.020991412985293535,2.4600112999999624
0,RCA,16,16,0.018263723594630014,1.783398200000022
0,RCA,16,17,0.02453715728001332,2.098536299999978
0,RCA,16,18,0.005607932603715713,2.5875269000000003
0,RCA,16,19,0.011547009291761159,1.9096876000000407
0,RCA,17,1,0.0,0.03130049999998619
0,RCA,17,2,0.00038536269060872146,0.22604480000001104
0,RCA,17,3,0.004062155760656716,0.6263001000000372
0,RCA,17,4,0.010352716876969975,0.6173698000000059
0,RCA,17,5,0.011958414348864601,0.8698682000000417
0,RCA,17,6,0.021431492909255317,0.7270614999999907
0,RCA,17,7,0.024160350914093718,1.4270283999999833
0,RCA,17,8,0.022892947313893512,1.289337200000034
0,RCA,17,9,0.018549656527460875,1.5121062000000052
0,RCA,17,10,0.006955553604339698,1.185839699999974
0,RCA,17,11,0.018097453706187084,1.9884748000000059
0,RCA,17,12,0.021449249152196544,2.000016599999981
0,RCA,17,13,0.028877158021115547,2.637122399999953
0,RCA,17,14,0.018110922771988388,2.7103781999999796
0,RCA,17,15,0.017719435740452934,2.334253600000011
0,RCA,17,16,0.012312051810421843,2.821062500000039
0,RCA,17,17,0.01840694430390808,2.2186429000000203
0,RCA,17,18,0.02116391279089476,2.89494830000001
0,RCA,17,19,0.023473604044260202,3.0153994000000353
0,RCA,18,1,0.0,0.031532199999958266
0,RCA,18,2,0.0003172764582511311,0.24934600000000273
0,RCA,18,3,0.004044849565794606,0.37928349999998545
0,RCA,18,4,0.006273748721426139,0.8668270000000007
0,RCA,18,5,0.006056175496223225,0.6462819000000195
0,RCA,18,6,0.01119956017158473,0.8200031999999737
0,RCA,18,7,0.007698812564243409,0.7722042999999985
0,RCA,18,8,0.012532762076887851,0.9380284000000074
0,RCA,18,9,0.009576062291464718,1.1237773999999945
0,RCA,18,10,0.013206105329393739,1.2246602999999823
0,RCA,18,11,0.011720230169292134,2.3738117999999986
0,RCA,18,12,0.009679613984715686,1.5616026000000147
0,RCA,18,13,0.020049430839923353,1.9335564000000431
0,RCA,18,14,0.01636940175754095,2.884562200000005
0,RCA,18,15,0.02343472315324383,2.2685125999999514
0,RCA,18,16,0.017963780753015666,2.1385058000000186
0,RCA,18,17,0.023552696347151864,2.475016100000005
